huggingface_ID,Type,parameters (B),open_llm_average,IFEval,BBH,MATH,GPQA,MUSR,MMLU-Pro,dataset,seed,final_layer_matrix_rank,final_layer_DSE,final_layer_VNE,matrix_rank_arr,DSE_arr,VNE_arr
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,wikipedia,0,636,0.9145951271057129,0.4730420708656311,[687 681 685 684 687 687 687 687 687 687 687 687 636],"[4.3074903 3.6202564 3.6393936 3.8117921 4.0686083 4.25901   4.4267097
 4.503442  4.4266887 4.426786  4.168657  3.284177  0.9145951]","[4.592882   3.9244244  3.9708207  4.221299   4.5826435  4.8575644
 5.100293   5.217718   5.1215715  5.1213374  4.7685676  3.6289566
 0.47304207]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,pubmed,0,578,0.7340085506439209,0.3688400685787201,[588 588 588 588 588 588 588 588 588 588 588 588 578],"[4.262703   3.5722177  3.5744886  3.7264025  3.9438224  4.0970573
 4.2372985  4.2812166  4.2072005  4.048479   3.7741554  3.0083663
 0.73400855]","[4.6675496  3.9164565  3.9343455  4.149502   4.4496636  4.6648116
 4.860749   4.926971   4.826699   4.620379   4.2599044  3.2951913
 0.36884007]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,imdb,0,535,1.0689736604690552,0.49799853563308716,[558 558 558 558 558 558 558 558 558 558 558 558 535],"[4.2031474 3.527069  3.584377  3.761898  4.012891  4.2375913 4.411162
 4.4578047 4.452814  4.3664517 4.100232  3.2798169 1.0689737]","[4.5474973  3.844697   3.9462583  4.205286   4.565682   4.889562
 5.143386   5.2175627  5.2081246  5.083243   4.7179666  3.6446779
 0.49799854]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,squad,0,622,0.9832188487052917,0.6088794469833374,[757 700 711 675 713 737 761 767 768 768 768 768 622],"[4.566513   3.7994475  3.6320093  3.7372248  3.8778636  4.3289957
 4.373217   4.767531   4.953077   4.90692    4.667171   3.7571409
 0.98321885]","[4.7187934  4.0211535  3.8655474  4.0258765  4.241491   4.8399596
 4.9373684  5.433354   5.7061276  5.647472   5.320435   4.1597786
 0.60887945]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,wikipedia,1,606,0.5750645995140076,0.32174158096313477,[637 637 637 636 637 637 637 637 637 637 637 637 606],"[4.2767396 3.5943713 3.6113086 3.7233186 3.9522398 4.1538806 4.2782216
 4.3626094 4.277415  4.2473397 3.9900813 3.0666678 0.5750646]","[4.583445   3.901109   3.947825   4.1223197  4.4437966  4.7252855
 4.9054265  5.030102   4.921069   4.8812265  4.5360174  3.3636928
 0.32174158]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,pubmed,1,646,1.0873483419418335,0.5320470929145813,[685 685 685 685 685 685 685 685 685 685 685 685 646],"[4.474041  3.769832  3.7149732 3.903571  4.124399  4.2762017 4.4228735
 4.4675055 4.4368534 4.3051777 4.082394  3.2381287 1.0873483]","[4.870864  4.126977  4.079344  4.341912  4.648088  4.866876  5.073063
 5.138164  5.099497  4.92967   4.6348763 3.5637546 0.5320471]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,imdb,1,565,0.8072019815444946,0.3710361123085022,[570 570 570 570 570 570 570 570 570 570 570 570 565],"[4.190528  3.5080662 3.5829363 3.7450416 4.0131226 4.2167273 4.387485
 4.4488583 4.443383  4.359597  4.044557  3.2111828 0.807202 ]","[4.540949  3.8190203 3.9344404 4.171047  4.544512  4.8352647 5.0787616
 5.171756  5.160136  5.042583  4.6161294 3.545403  0.3710361]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,squad,1,699,1.1315993070602417,0.6763006448745728,[759 727 743 737 763 768 768 768 768 768 768 768 699],"[4.4991846 3.7526727 3.6527352 3.7609682 3.9935086 4.3976455 4.49148
 4.7765965 4.870177  4.8361626 4.6054435 3.7493052 1.1315993]","[4.713356   4.0162     3.9302113  4.0935864  4.4181886  4.953812
 5.110234   5.4593363  5.5899577  5.537501   5.2096124  4.1211433
 0.67630064]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,wikipedia,2,639,0.9645426869392395,0.546893298625946,[683 680 683 682 683 683 683 683 683 683 683 683 639],"[4.3430715 3.6963525 3.681555  3.8129258 4.0727143 4.244011  4.3795595
 4.4001613 4.3418226 4.2801914 4.0185623 3.09958   0.9645427]","[4.668245  4.031824  4.0362935 4.234006  4.597227  4.8413215 5.040297
 5.081074  5.0103183 4.9274726 4.575549  3.407456  0.5468933]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,pubmed,2,647,0.911574125289917,0.46777230501174927,[685 685 685 685 685 685 685 685 685 685 685 685 647],"[4.4680576 3.7711422 3.7562156 3.901647  4.10875   4.2524734 4.391012
 4.4059772 4.3335357 4.2185893 3.959007  3.101774  0.9115741]","[4.8391747 4.115522  4.1146607 4.3259654 4.6153574 4.8231955 5.0200634
 5.0481133 4.955185  4.8119802 4.473424  3.3953938 0.4677723]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,imdb,2,637,0.863927960395813,0.3811801075935364,[676 676 676 676 676 676 676 676 676 676 676 676 637],"[4.3179936  3.651045   3.7492552  3.9282522  4.1975927  4.4234753
 4.606339   4.651906   4.6277018  4.55162    4.2211328  3.312839
 0.86392796]","[4.626919  3.9683588 4.11499   4.377532  4.757747  5.080902  5.3435287
 5.415303  5.381859  5.2734594 4.8261905 3.6621647 0.3811801]"
openai-community/gpt2,pretrained,0.124,6.51,17.93,2.67,0.23,1.12,15.35,1.77,squad,2,460,0.9580880403518677,0.5434176921844482,[604 569 567 515 546 575 597 604 604 604 604 604 460],"[4.1490617  3.4123151  3.2208085  3.1994581  3.3488224  3.7886882
 3.8585546  4.2161546  4.4607515  4.462729   4.2424703  3.4202893
 0.95808804]","[4.277925  3.5919907 3.4113107 3.4241853 3.6386483 4.206437  4.3298492
 4.781813  5.14028   5.155755  4.857012  3.7948751 0.5434177]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,wikipedia,0,664,1.3955432176589966,0.576492190361023,"[687 658 650 683 685 687 687 687 687 687 687 687 687 687 687 687 687 687
 687 687 687 687 687 687 664]","[4.66818   2.4113255 2.3467255 2.2804713 2.4155781 2.5257974 2.6024168
 2.648953  2.7059019 2.7206182 2.7534425 2.8759332 2.9937365 3.1315022
 3.2701201 3.3826585 3.444452  3.467802  3.385631  3.3309546 3.1327085
 2.8760421 2.4748352 1.810627  1.3955432]","[5.5304613 2.538629  2.4675677 2.399782  2.55729   2.6902685 2.784663
 2.8455207 2.9177403 2.9387922 2.9879267 3.1383283 3.2842798 3.4557145
 3.6294417 3.772454  3.8512466 3.8818972 3.7763934 3.706692  3.4572177
 3.1433604 2.654644  1.8588172 0.5764922]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,pubmed,0,583,1.279259443283081,0.49500080943107605,"[588 576 572 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588
 588 588 588 588 588 588 583]","[4.710067  2.358131  2.2857893 2.1980903 2.3204906 2.4086857 2.4704628
 2.513761  2.5395458 2.5572195 2.580321  2.6658351 2.7627742 2.8717272
 2.9650784 3.080159  3.1077507 3.10953   3.028793  2.952271  2.7894926
 2.5380623 2.1682186 1.5695248 1.2792594]","[5.638505  2.4973438 2.4162612 2.3211002 2.4664476 2.5714235 2.6466248
 2.698659  2.7310135 2.754056  2.7854373 2.8878305 3.0048943 3.136135
 3.2506316 3.3920233 3.4259326 3.4280345 3.3279912 3.2349827 3.035547
 2.73757   2.3058648 1.6229112 0.4950008]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,imdb,0,540,1.3888986110687256,0.6191585063934326,"[558 552 549 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558
 558 558 558 558 558 558 540]","[4.604297  2.2678478 2.2472188 2.180758  2.3100772 2.4141977 2.4969535
 2.541801  2.6208224 2.6518588 2.7011456 2.8151295 2.954407  3.0862541
 3.2240982 3.335452  3.4042623 3.4339674 3.3959472 3.3047698 3.1096163
 2.8196495 2.3943486 1.816493  1.3888986]","[5.4738116 2.3869815 2.3671281 2.2975495 2.4532633 2.5794988 2.6819472
 2.7396133 2.8367584 2.8772652 2.9495938 3.0918975 3.2651935 3.4303916
 3.6044974 3.7449968 3.8306553 3.8677168 3.814476  3.698687  3.4492207
 3.0942373 2.5688717 1.8643372 0.6191585]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,squad,0,653,1.3579131364822388,0.6566834449768066,"[831 680 664 681 674 707 727 752 782 815 831 831 831 831 831 831 831 831
 831 831 831 831 831 831 653]","[4.7148795 2.6378462 2.5385787 2.4086082 2.530554  2.6239998 2.6938431
 2.6683226 2.6560066 2.8976245 2.84824   2.958403  3.1878831 3.413849
 3.6247356 3.7185268 3.8073163 3.8483236 3.834614  3.8516958 3.7135787
 3.388479  3.061562  2.2342353 1.3579131]","[5.477697   2.7209756  2.6169646  2.4853592  2.6208823  2.7268476
 2.8124564  2.798556   2.7959597  3.0880642  3.0639024  3.2050807
 3.4861703  3.766716   4.0312133  4.152809   4.265445   4.3215857
 4.304495   4.3333826  4.1633577  3.7625918  3.3443604  2.3501842
 0.65668344]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,wikipedia,1,630,1.3749313354492188,0.5245533585548401,"[637 617 611 636 636 637 637 637 637 637 637 637 637 637 637 637 637 637
 637 637 637 637 637 637 630]","[4.672558  2.3931491 2.3010824 2.2134886 2.32309   2.4227128 2.4950628
 2.5274675 2.5712388 2.604359  2.6489773 2.7389233 2.8437035 2.9573665
 3.0686326 3.170754  3.2042696 3.2234716 3.1460407 3.0842261 2.8625817
 2.6206312 2.198692  1.570515  1.3749313]","[5.5440717  2.5183907  2.4170227  2.3250227  2.4556975  2.5749648
 2.663241   2.7053971  2.7596853  2.8018079  2.8635652  2.973133
 3.100764   3.2393172  3.3754203  3.502061   3.542301   3.565897
 3.4689934  3.3939526  3.121293   2.8320098  2.339268   1.6195623
 0.52455336]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,pubmed,1,673,1.4882786273956299,0.6570765376091003,"[685 657 659 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685
 685 685 685 685 685 685 673]","[4.8775206 2.5261822 2.4596624 2.3555026 2.471792  2.5734456 2.6303947
 2.6696925 2.6967192 2.717747  2.7418282 2.842266  2.9507537 3.0736465
 3.193179  3.3054662 3.3406558 3.3654332 3.2992816 3.213025  3.0398793
 2.7670846 2.3695097 1.7756683 1.4882786]","[5.8529453  2.6765645  2.6011994  2.4908652  2.6303825  2.752368
 2.8233967  2.8725061  2.9064813  2.9346087  2.9688048  3.090478
 3.2216575  3.3720276  3.5199628  3.65999    3.7040017  3.7354221
 3.651594   3.5462456  3.3318534  3.0038397  2.5294442  1.8327086
 0.65707654]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,imdb,1,568,1.3558400869369507,0.5763726234436035,"[570 561 559 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570
 570 570 570 570 570 570 568]","[4.636426  2.242379  2.2473643 2.1768372 2.3127308 2.4298182 2.5084012
 2.5481591 2.5949852 2.6312468 2.6749856 2.7732267 2.8870845 3.013955
 3.145146  3.2667904 3.312814  3.349765  3.3014235 3.2175515 3.0097578
 2.7312112 2.2635994 1.6051165 1.3558401]","[5.497457  2.3632877 2.3695488 2.2950406 2.4555287 2.5952463 2.6919062
 2.741816  2.799781  2.8456025 2.9043565 3.0254743 3.164829  3.3209395
 3.4840813 3.6357894 3.691301  3.7369375 3.673233  3.567315  3.3063393
 2.969922  2.4123738 1.6530159 0.5763726]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,squad,1,761,1.5436238050460815,0.811416745185852,"[825 706 702 749 752 778 795 820 825 825 825 825 825 825 825 825 825 825
 825 825 825 825 825 825 761]","[4.728679  2.5799742 2.4992588 2.400704  2.5166137 2.6002233 2.6588142
 2.676659  2.709633  2.9315243 2.8996122 3.048717  3.2629833 3.4456227
 3.6321676 3.7357197 3.8161879 3.855882  3.8161912 3.7701502 3.5606086
 3.235683  2.9567494 2.2760167 1.5436238]","[5.537981   2.6950142  2.608367   2.5073557  2.641696   2.7416425
 2.8139038  2.8420348  2.887545   3.159763   3.1382048  3.3213828
 3.583138   3.8077402  4.0371594  4.16923    4.2657905  4.3170037
 4.260742   4.2019076  3.9369872  3.5418198  3.1738694  2.386397
 0.81141675]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,wikipedia,2,659,1.452940821647644,0.5879161357879639,"[683 653 648 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683
 683 683 683 683 683 683 659]","[4.6535482 2.4942255 2.406939  2.3280418 2.43691   2.555777  2.6270735
 2.697501  2.7396178 2.7381237 2.7470753 2.84596   2.956441  3.0933716
 3.2254953 3.3326619 3.3861988 3.3869357 3.2808406 3.1968434 3.0169406
 2.7671835 2.3405173 1.6696022 1.4529408]","[5.55442    2.6401231  2.5434902  2.4621696  2.5928829  2.7368011
 2.8238928  2.9100428  2.9634042  2.9651618  2.9860535  3.1072721
 3.2434702  3.413706   3.5791948  3.7140596  3.7801006  3.7794924
 3.644215   3.5391524  3.3160925  3.0153344  2.506481   1.7220309
 0.58791614]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,pubmed,2,677,1.377906084060669,0.5624210238456726,"[685 663 661 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685
 685 685 685 685 685 685 677]","[4.8911314 2.5406137 2.4677932 2.369591  2.4879663 2.571004  2.614587
 2.6572673 2.6815097 2.6908243 2.6946683 2.7835634 2.874783  2.9905467
 3.0933852 3.2065382 3.2381818 3.2464073 3.169591  3.0972242 2.9327593
 2.6753607 2.279586  1.6539514 1.3779061]","[5.8431478 2.6869364 2.6034644 2.4996107 2.6418188 2.7430158 2.7983391
 2.8509407 2.8826976 2.8975475 2.9064178 3.0136979 3.1234353 3.2634692
 3.3898845 3.530458  3.5704293 3.5813565 3.4873161 3.3994148 3.1991265
 2.8927286 2.427226  1.711356  0.562421 ]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,imdb,2,664,1.2050315141677856,0.4561046063899994,"[676 653 650 676 676 676 676 676 676 676 676 676 676 676 676 676 676 676
 676 676 676 676 676 676 664]","[4.729501  2.399609  2.3984163 2.3300924 2.4665625 2.5871985 2.6789603
 2.7186167 2.7761445 2.7917335 2.826922  2.92581   3.0273    3.1548588
 3.2819839 3.4010117 3.4648607 3.4978445 3.440401  3.32861   3.1110632
 2.816424  2.3325188 1.6603686 1.2050315]","[5.5957117 2.5297492 2.5292358 2.4584026 2.6207852 2.765939  2.8789072
 2.9313822 3.0033872 3.025886  3.0749881 3.1970217 3.3222206 3.4800797
 3.6388285 3.7890677 3.8689075 3.9109905 3.8359287 3.6962938 3.4234908
 3.0671458 2.4900765 1.7095665 0.4561046]"
openai-community/gpt2-medium,pretrained,0.335,5.9,22.08,2.72,0.76,1.68,6.16,2.02,squad,2,437,1.2246395349502563,0.5540109872817993,"[604 535 499 506 485 504 513 526 534 553 594 604 604 604 604 604 604 604
 604 604 604 604 604 604 437]","[4.2836566 2.2986085 2.1152718 2.00853   2.0988307 2.1851432 2.2515614
 2.269915  2.263826  2.460189  2.431417  2.5410838 2.784795  3.0176091
 3.1980803 3.2893116 3.3837137 3.416925  3.416231  3.4749024 3.3581557
 3.0473125 2.7908754 2.0461206 1.2246395]","[4.936308  2.36223   2.1728387 2.0631216 2.1657052 2.2646544 2.3446345
 2.374442  2.3749523 2.6069357 2.6055546 2.7417483 3.0358322 3.3238473
 3.548538  3.6661582 3.7880354 3.8347034 3.8368287 3.918471  3.77357
 3.3859475 3.0418515 2.1220982 0.554011 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,wikipedia,0,687,5.135257720947266,6.1317138671875,"[687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687
 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687 687
 687]","[5.451925  5.0032387 4.23589   3.9942882 4.00598   4.075885  4.132009
 4.182904  4.242857  4.264952  4.312102  4.3475246 4.4010444 4.4023976
 4.4213133 4.4726973 4.5187445 4.569199  4.6362205 4.687251  4.7063265
 4.7390437 4.7521267 4.778723  4.78716   4.7819123 4.7668343 4.7422876
 4.710799  4.6703215 4.5992618 4.5163064 4.386029  4.0251474 3.4206905
 2.9401464 5.1352577]","[6.3699536 5.829079  4.655458  4.3688483 4.4114547 4.5244927 4.6148896
 4.696813  4.7924013 4.838807  4.915582  4.9771447 5.065704  5.0795026
 5.114644  5.194776  5.266447  5.342804  5.442492  5.519919  5.549946
 5.5994773 5.617505  5.656164  5.6688094 5.6622105 5.639787  5.5999913
 5.549683  5.489136  5.3840327 5.2619915 5.076129  4.579942  3.792875
 3.2207944 6.131714 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,pubmed,0,588,5.1363205909729,6.143832683563232,"[588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588
 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588 588
 588]","[5.464582  4.987028  4.193222  3.9867053 4.0084414 4.0833197 4.151732
 4.1992536 4.217268  4.2175274 4.245282  4.2666016 4.285725  4.292432
 4.299032  4.3290863 4.3702836 4.422974  4.4467154 4.465832  4.44656
 4.417571  4.395874  4.3544216 4.3592196 4.3452587 4.344281  4.3067484
 4.246717  4.211407  4.1870785 4.126182  4.018132  3.6446567 3.1661413
 2.782699  5.1363206]","[6.50883   5.879054  4.705252  4.438248  4.480919  4.5945063 4.695402
 4.7663403 4.79498   4.8020477 4.8490663 4.8865566 4.923382  4.939578
 4.954669  5.0020676 5.0635805 5.139592  5.174968  5.2027316 5.1766186
 5.1343803 5.1032357 5.0420666 5.0507746 5.03036   5.028167  4.97226
 4.8833876 4.8312016 4.796805  4.712238  4.5643344 4.0680737 3.4608793
 3.028641  6.1438327]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,imdb,0,558,5.135931015014648,6.218698024749756,"[558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558
 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558 558
 558]","[5.367451  4.936546  4.1811957 3.872015  3.8528657 3.92585   3.9811573
 4.047032  4.1035976 4.143424  4.202819  4.244276  4.297136  4.317795
 4.357201  4.4297276 4.470872  4.5348477 4.5868797 4.6159773 4.6366253
 4.6651587 4.677633  4.70975   4.711013  4.721015  4.69675   4.6869373
 4.6476197 4.580534  4.4960747 4.3795547 4.223915  3.7816641 3.24321
 2.8746233 5.135931 ]","[6.332018  5.8304343 4.677036  4.291972  4.2889757 4.4029107 4.4917274
 4.5933995 4.680329  4.745417  4.8408136 4.910289  4.995766  5.030958
 5.095595  5.2067885 5.2711954 5.3682513 5.4459558 5.4905047 5.522628
 5.562089  5.576272  5.620611  5.6189127 5.6314754 5.5930867 5.5735106
 5.507719  5.407252  5.28518   5.1200585 4.899442  4.2921343 3.591057
 3.1679897 6.218698 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,squad,0,831,4.8027215003967285,5.559432506561279,"[831 831 831 828 821 818 817 821 821 817 816 821 827 830 830 831 831 831
 831 831 831 831 831 831 831 831 831 831 831 831 831 831 831 831 831 831
 831]","[5.5399146 5.106831  4.394619  4.1857166 4.2012215 4.28119   4.309311
 4.3242044 4.330709  4.245462  4.220836  4.22221   4.283943  4.222709
 4.1792674 4.3059425 4.4739227 4.535414  4.652938  4.834844  4.956962
 4.992509  4.981332  4.9582267 4.979079  4.9340262 4.9077086 4.8965077
 4.9006786 4.83168   4.7605667 4.7500024 4.6103816 4.439738  4.010396
 3.9200792 4.8027215]","[6.2469325 5.7831154 4.650196  4.404125  4.460023  4.58724   4.654669
 4.6967163 4.7270107 4.647336  4.6415863 4.672504  4.7855387 4.7295203
 4.6893806 4.8754573 5.1205516 5.218258  5.383732  5.6247964 5.7932854
 5.8531733 5.838278  5.8012667 5.8361363 5.7752028 5.743715  5.7301
 5.738143  5.6474605 5.5547714 5.5432262 5.3523965 5.1226487 4.5490756
 4.4330387 5.5594325]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,wikipedia,1,637,5.039670944213867,5.990110874176025,"[637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637
 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637 637
 637]","[5.4335046 4.955567  4.21612   3.962541  3.9540348 4.0241375 4.0513954
 4.090779  4.121012  4.1287274 4.158757  4.179628  4.220993  4.2140293
 4.2398367 4.2983575 4.350189  4.4095902 4.4609375 4.491872  4.500894
 4.528393  4.521223  4.5086584 4.5111103 4.483502  4.4752035 4.4385676
 4.3777204 4.332385  4.270628  4.165491  4.0156765 3.6176558 3.1164007
 2.7060537 5.039671 ]","[6.3631835 5.79176   4.6602716 4.352463  4.3628016 4.4716444 4.5228066
 4.587441  4.63902   4.663675  4.7166367 4.7557244 4.8229628 4.822223
 4.863474  4.9515014 5.0300255 5.117887  5.1929207 5.240252  5.2540627
 5.292673  5.282383  5.263197  5.2663965 5.2248545 5.2110224 5.1535115
 5.06297   4.9959574 4.9062214 4.7606926 4.5572805 4.0277843 3.3961153
 2.931707  5.990111 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,pubmed,1,685,5.257007122039795,6.296853065490723,"[685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685
 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685 685
 685]","[5.643989  5.239368  4.4339137 4.2269063 4.243226  4.3215847 4.3860836
 4.428087  4.4440346 4.439085  4.4665527 4.47845   4.4842873 4.484302
 4.4904404 4.5248218 4.5628467 4.6246433 4.6511483 4.6707234 4.670943
 4.6632876 4.649286  4.6412935 4.6556926 4.6495156 4.639292  4.600542
 4.5598755 4.500843  4.468483  4.393353  4.2580914 3.9055758 3.4490879
 3.0801518 5.257007 ]","[6.7144485 6.1753893 4.9557176 4.6937485 4.7391195 4.866012  4.967082
 5.0373673 5.0686727 5.0695176 5.1190047 5.1468353 5.1672025 5.1760845
 5.191429  5.248323  5.3072777 5.397865  5.4389353 5.4688153 5.471328
 5.459486  5.439323  5.4268484 5.4495354 5.4399033 5.424807  5.3673377
 5.305358  5.2201467 5.1736555 5.068375  4.8835816 4.4057803 3.8143554
 3.3814156 6.296853 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,imdb,1,570,5.201776504516602,6.276065826416016,"[570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570
 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570 570
 570]","[5.402955  4.940754  4.1557875 3.8593192 3.846625  3.9175577 3.9939792
 4.0588512 4.097322  4.1404977 4.1906776 4.237014  4.287011  4.3113184
 4.356072  4.4305162 4.4756236 4.5562143 4.609117  4.6365333 4.650386
 4.652466  4.6561756 4.658186  4.6686363 4.6730466 4.6645055 4.653929
 4.61024   4.54696   4.462282  4.3203273 4.1508384 3.7293139 3.178744
 2.8009984 5.2017765]","[6.3645325 5.798139  4.6389976 4.265223  4.267686  4.3757    4.488515
 4.5833354 4.6426697 4.7104273 4.7907033 4.8627286 4.9416537 4.9811883
 5.05069   5.1626143 5.23098   5.3504977 5.42898   5.4718137 5.4930573
 5.4931107 5.4958324 5.49411   5.506112  5.5083117 5.4943337 5.4726276
 5.4014397 5.3091726 5.1894126 4.9901953 4.75732   4.1915154 3.4895368
 3.062828  6.276066 ]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,squad,1,825,5.211325168609619,6.168040752410889,"[825 825 825 825 823 822 823 825 825 825 825 825 825 825 825 825 825 825
 825 825 825 825 825 825 825 825 825 825 825 825 825 825 825 825 825 825
 825]","[5.5503283 5.1514277 4.3854012 4.1500697 4.1099606 4.1712275 4.201457
 4.225617  4.2743273 4.248497  4.2603774 4.2952337 4.344197  4.3107314
 4.301156  4.420216  4.5602217 4.6318617 4.751776  4.924329  4.9781003
 4.9876804 4.969864  4.9541807 4.9637694 4.954191  4.9568872 4.9482794
 4.91428   4.8581567 4.793949  4.7345953 4.601749  4.370835  3.9034119
 3.7802525 5.211325 ]","[6.3451796 5.9339375 4.747334  4.4620976 4.443128  4.543715  4.6039133
 4.652007  4.7278748 4.7149777 4.750321  4.815858  4.9034176 4.874893
 4.8729277 5.045235  5.2449045 5.3528733 5.517924  5.7336836 5.80308
 5.8283525 5.8030424 5.7757974 5.788017  5.7794204 5.7844033 5.7689056
 5.716489  5.643503  5.563188  5.4736743 5.2897124 4.974308  4.360538
 4.1942635 6.1680408]"
openai-community/gpt2-large,pretrained,0.744,5.57,20.48,3.25,1.21,1.23,5.66,1.58,wikipedia,2,683,5.032449722290039,5.981351375579834,"[683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683
 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683 683
 683]","[5.442678  5.0509377 4.368517  4.1411977 4.1225853 4.1793284 4.220978
 4.2672873 4.304905  4.3379226 4.363948  4.3970637 4.442227  4.443974
 4.4649816 4.5020585 4.5191116 4.567851  4.627925  4.6585255 4.6450906
 4.657867  4.644229  4.652589  4.6525455 4.637063  4.6266704 4.571705
 4.5125704 4.4560437 4.396054  4.3006315 4.165689  3.7992926 3.292785
 2.7908077 5.0324497]","[6.402835  5.9317193 4.8538256 4.5804763 4.5846167 4.6805143 4.7524915
 4.828329  4.8946424 4.9513984 4.9994526 5.0566173 5.1319222 5.142981
 5.1797314 5.238155  5.2692337 5.34219   5.434641  5.485607  5.4703054
 5.491673  5.4740634 5.485414  5.4861565 5.462183  5.444318  5.360517
 5.2693605 5.184973  5.0971727 4.9621954 4.7734437 4.272387  3.619598
 3.0214348 5.9813514]"
